Notebook Name,Path,Last Updated,Last Author,Age (Days),Import Style,Uses Colab Badge,Potential Issues,API Compatibility,Version Tested,Google Colab Issues,Priority,Recommendation
acceptance_rejection.ipynb,demos/acceptance_rejection.ipynb,2026-04-23,sanjana-3002,85,qmcpy direct import,Unknown,"AcceptanceRejection class usage, RandomSeed parameter","Check latest TrueMeasure API",Unknown,"Colab path issues, Runtime timeout risk (large data demo)",CRITICAL,"Run test on Colab, verify AcceptanceRejection API"
asian-option-mlqmc.ipynb,demos/asian-option-mlqmc.ipynb,2025-07-01,alegresor,382,"qmcpy direct import",Unknown,"MLQMC implementation, Financial modeling, Version mismatch in imports","Verify MLQMC classes exist",Unknown,"GPU memory for large simulations, Colab timeout (>30min runtime)","HIGH","Test MLQMC API, optimize for Colab memory"
control_variates.ipynb,demos/control_variates.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Unknown,"Control variate implementation, Parameter passing","Verify control variate module",Unknown,"Unknown runtime, Colab execution untested","MEDIUM","Create test harness for Colab"
copula_examples.ipynb,demos/copula_examples.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Yes,"Large notebook (1.79MB), Copula sampling, Complex distribution handling","Check copula module compatibility",Unknown,"Colab memory issues (1.79MB file), Timeout risk, Potential storage issues","HIGH","Optimize notebook size, test memory usage on Colab"
digital_net_b2.ipynb,demos/digital_net_b2.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Yes,"Digital net generation, Base-2 specific implementation","Verify DigitalNet API",Unknown,"Colab compatibility unknown, File size manageable (466KB)","MEDIUM","Test base-2 digital net on Colab"
elliptic-pde.ipynb,demos/elliptic-pde.ipynb,2024-07-04,sou-cheng-choi,1113,"qmcpy direct import",Yes,"PDE solving, Matrix operations, Scipy integration","Check PDE solver module",Unknown,"Colab scipy compatibility, GPU acceleration not utilized","MEDIUM","Verify scipy/numpy versions match Colab defaults"
gaussian_diagnostics_demo.ipynb,demos/gaussian_diagnostics/gaussian_diagnostics_demo.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Unknown,"Gaussian measure diagnostics, Statistical testing","Check diagnostics module",Unknown,"Unknown, test required","MEDIUM","Create test on Colab"
iris.ipynb,demos/iris.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Yes,"Iris dataset integration, ML integration","Check data loading API",Unknown,"Colab path to iris data, sklearn integration","MEDIUM","Verify sklearn/dataset availability on Colab"
lattice_random_generator.ipynb,demos/lattice_random_generator.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Yes,"Lattice generation, Randomization parameter","Verify Lattice(randomize=...) API",Unknown,"Parameter randomize may not exist in latest version, Colab random seed handling","HIGH","Update randomize parameter usage"
lebesgue_integration.ipynb,demos/lebesgue_integration.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Unknown,"Measure-theoretic integration, Custom measure","Check custom measure API",Unknown,"Colab unknown, small file (7.8KB)","LOW","Basic test on Colab"
linear-scrambled-halton.ipynb,demos/linear-scrambled-halton.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Yes,"Halton sequence, Linear scrambling, Randomization","Verify Halton scrambling API",Unknown,"Colab execution untested, large outputs (1MB+), Visualization timeout","MEDIUM","Test visualization rendering on Colab"
nei_demo.ipynb,demos/nei_demo.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Yes,"Neighborhood expansion, Optimization criterion","Check NEI implementation",Unknown,"Colab computational intensity, matplotlib rendering","MEDIUM","Profile performance on Colab"
plot_proj_function.ipynb,demos/plot_proj_function.ipynb,2024-07-04,sou-cheng-choi,1113,"qmcpy direct import",Yes,"Projection-dependent function, Visualization, Matplotlib","Verify projection functions",Unknown,"Colab matplotlib backend may need setup, Large output size","MEDIUM","Test visualization rendering on Colab"
pricing_options.ipynb,demos/pricing_options.ipynb,Unknown,Unknown,Unknown,"qmcpy direct import",Unknown,"Financial option pricing, Custom integrand","Check pricing module/API",Unknown,"Colab financial library availability, numpy compatibility","LOW","Basic test on Colab"
